,d750,d760,d800,d816,d850,d870,d900,d926,d940,d950,d982,d1000,d1020,d1030,d1038,d1050,d1093,d1100,d1150,d1200
5,,,718.0,662.0,559.0,497.0,392.0,323.0,288.0,269.0,210.0,183.0,155.0,141.0,133.0,121.0,87.0,83.0,,
7,,,,,,,420.0,349.33,315.2,292.5,229.27,200.0,172.86,161.35,153.16,142.54,121.05,120.0,,
8,,,749.0,693.0,580.0,504.0,417.0,355.0,324.0,304.0,250.0,221.0,195.0,184.0,174.0,162.0,124.0,119.0,,
10,,,,712.7,578.3,517.5,427.9,350.0,331.0,314.9,257.4,230.0,200.0,181.6,169.0,159.3,,,,
12,,,610.0,583.0,517.0,476.0,410.0,352.0,322.0,300.0,233.0,200.0,166.0,151.0,140.0,126.0,91.0,90.0,,
13,,,610.0,570.0,494.0,448.0,380.0,325.0,296.0,274.0,213.0,185.0,155.0,140.0,131.0,119.0,84.0,80.0,,
14,,,626.0,578.0,480.0,424.0,345.0,290.0,262.0,245.0,191.0,168.0,143.0,133.0,125.0,113.0,,,,
15,,,794.0,695.0,538.0,476.0,383.0,326.0,302.0,283.0,234.0,212.0,187.0,177.0,168.0,158.0,124.0,116.0,,
17,686.0,659.45,557.93,519.43,441.62,398.35,337.0,287.25,261.77,244.13,190.86,163.0,,,,,,,,
18,737.0,719.0,636.0,599.0,519.0,470.0,398.0,338.0,307.0,286.0,225.0,195.0,166.0,155.0,147.0,137.0,121.0,120.0,,
20,,,,,,,370.0,312.0,283.0,265.0,210.0,185.0,162.0,152.0,145.0,135.0,,,,
29,,,,670.0,545.0,485.0,403.0,343.0,314.0,297.0,243.0,218.0,190.0,180.0,170.0,159.0,123.0,117.0,,
30,,,,,,,414.0,359.0,317.0,290.0,229.0,200.0,175.0,164.0,153.0,139.0,,,,
33,,,,,,,496.0,423.0,389.0,364.0,293.0,258.0,224.0,208.0,197.0,180.0,133.0,128.0,,
35,,,793.5,745.0,640.0,586.5,502.0,421.0,386.0,353.0,276.0,242.0,208.0,195.0,185.0,171.0,141.0,139.0,,
36,,,,,,560.0,474.0,407.0,375.0,353.0,290.0,260.0,228.0,214.0,203.0,187.5,140.0,133.0,92.0,
41,,,725.0,686.0,600.0,550.0,475.0,411.0,378.0,355.0,285.0,250.0,214.0,200.0,187.0,170.0,128.0,125.0,,
44,,,,,,,,,,,318.0,278.0,230.0,209.0,190.0,171.0,145.0,141.0,117.0,
45,,,,,,,475.0,415.0,386.0,365.0,305.0,268.0,244.0,230.0,220.0,205.0,160.0,153.0,116.0,
46,,,,,,,,482.0,443.0,418.0,339.0,308.0,277.0,262.0,247.0,224.0,175.0,166.0,123.0,89.0
48,,,480.0,443.3,371.25,333.0,280.0,240.0,220.0,206.0,168.0,150.0,132.4,125.0,120.0,111.25,92.0,90.0,,
53,,800.0,676.0,623.5,515.0,452.0,363.0,294.0,260.0,237.0,177.0,153.0,135.0,,,,,,,
55,650.0,620.0,530.0,510.0,460.0,455.0,295.0,245.0,215.0,195.0,151.75,125.0,85.0,69.0,,,,,,
58,,,,,,,,,,,348.1,309.0,271.0,249.41,232.0,206.0,151.0,147.0,111.0,
59,,,,,,,,,,,348.1,309.0,271.0,249.41,232.0,206.0,151.0,147.0,111.0,
75,,,,,,,380.0,333.0,311.0,294.0,245.0,220.0,194.0,181.5,172.0,158.0,116.0,110.0,75.0,
103,,,756.0,712.3,595.5,527.1,426.0,347.6,308.6,285.5,227.7,205.2,179.2,169.5,158.4,146.5,,,,
105,,,755.1,727.7,609.7,540.3,442.2,354.4,321.8,300.0,243.3,223.1,202.1,189.8,182.7,171.1,,,,
116,,,,,,,,,,379.0,318.0,288.0,247.0,232.0,218.0,203.0,161.0,158.0,125.0,
